yi	一|乂|义|乙|亦|亿|以|仪|伊|佚|依|倚|偯|刈|劓|勩|医|呓|呭|咦|咿|噫|圯|墿
yiyi	一一|一亿|依依|奕奕|异议|意义|意译|熠熠|疑义|薏苡
yiyier	一一二
yiyilieju	一一列举
yiyiduiying	一一对应
yiding	一丁|一定|一锭|一顶|议定
yidingdianer	一丁点儿
yiqi	一七|一期|一气|一汽|一起|一齐|义旗|义气|以期|仪器|弈棋|忆起|意气|益气|遗弃
yiwan	一万|一碗|乙烷|亿万|伊万
yiwanliang	一万两
yiwange	一万个
yiwaner	一万二
yiwanwuqian	一万五千
yiwanyu	一万余
yiwanbei	一万倍
yiwanyuan	一万元
yiwanju	一万句
yiwanming	一万名
yiwankuai	一万块
yiwanduo	一万多
yiwanduoge	一万多个
yiwanduoyuan	一万多元
yiwanduoming	一万多名
yiwannian	一万年|亿万年
yiwanci	一万次
yiwanbu	一万步
yizhang	一丈|一张|一章|亿张|仪仗|依仗|倚仗|议长
yisan	一三
yishangwu	一上午
yixia	一下|以下
yixiayixia	一下一下
yixiaxia	一下下
yixiatou	一下头
yixiazi	一下子
yixiazicheng	一下子成
yixiazida	一下子打
yixiaziba	一下子把
yixiazizhan	一下子站
yixiashou	一下手
yixiayan	一下眼
yixiazhan	一下站
yixialian	一下脸
yibuzuo	一不做
yibuxiaoxin	一不小心
yibupaku	一不怕苦
yizhuanduoneng	一专多能
yishi	一世|一事|一十|一师|一时|义士|义师|以示|仪式|伊始|依恃|医士|医师|役使|意识|易事|移师|衣食|衣饰|议事|轶事|逸事|逸史|遗事
yiqiuzhihe	一丘之貉
yiye	一业|一叶|一夜|一页|肄业|胰液|艺业
yicongcong	一丛丛
yisi	一丝|伊斯|意思|疑似
yisiyihao	一丝一毫
yisibugua	一丝不挂
yisibugou	一丝不苟
yisisi	一丝丝
yiliang	一两|一辆|宜良
yiliangwan	一两万
yiliangge	一两个
yiliangjian	一两件
yiliangfenzhong	一两分钟
yiliangqian	一两千
yiliangju	一两句
yiliangzhi	一两只
yiliangchang	一两场
yiliangsheng	一两声
yiliangchu	一两处
yiliangtian	一两天
yiliangjia	一两家
yiliangsui	一两岁
yiliangnian	一两年
yiliangzhao	一两招
yiliangri	一两日
yiliangyang	一两样
yiliangci	一两次
yiliangdian	一两点
yiliangye	一两页
yige	一个|亿个
yigesanshi	一个三十
yigesanshiduosui	一个三十多岁
yigege	一个个
yigeershi	一个二十
yigeershiduosui	一个二十多岁
yigewushi	一个五十
yigewushiduosui	一个五十多岁
yigewusui	一个五岁
yigeyi	一个亿
yigeliupin	一个六品
yigejiyi	一个几亿
yigejin	一个劲
yigejiner	一个劲儿
yigejindi	一个劲地
yigebao	一个包
yigeshi	一个十
yigeshisansisui	一个十三四岁
yigeshier	一个十二
yigeshibasui	一个十八岁
yigeshiliuqisui	一个十六七岁
yigeshijisui	一个十几岁
yigeshisui	一个十岁
yigeqian	一个千
yigeban	一个半|一个班
yigebanyue	一个半月
yigeshuang	一个双
yigeming	一个名
yigexiang	一个响
yigesishi	一个四十
yigesishiduosui	一个四十多岁
yigetuan	一个团
yigequan	一个圈
yigeduo	一个多
yigeduoyue	一个多月
yigetian	一个天
yigetou	一个头
yigetao	一个套
yigejia	一个家
yigeda	一个打
yigepai	一个排
yigezhi	一个支|一个纸
yigezheng	一个整
yigeyue	一个月
yigeyang	一个样
yigedian	一个点
yigewan	一个碗
yigediyici	一个第一次
yigexilie	一个系列
yigezu	一个组
yigejiao	一个角
yigeshen	一个身
yigetong	一个通
yigeji	一个集
yigeling	一个零
yigeding	一个顶
yizhong	一中|一种|一重|倚重|异种|意中
yizhongyitai	一中一台
yizhongquanhui	一中全会
yizhongyuan	一中院
